algorithm n comparisions time
bubble 0 0 0.000000041
insertion-dumb 0 0 0.000000041
insertion-smart 0 0 0.000000041
selection 0 0 0.000000041
quick 0 0 0.000000083
heap 0 0 0.000000041
merge 0 0 0.000000041
stdstable 0 0 0
stdunstable 0 0 0.000000125
bubble 0 0 0.000000041
insertion-dumb 0 0 0.000000041
insertion-smart 0 0 0.000000041
selection 0 0 0.000000041
quick 0 0 0
heap 0 0 0
merge 0 0 0.000000041
stdstable 0 0 0.000000041
stdunstable 0 0 0.000000041
bubble 0 0 0
insertion-dumb 0 0 0.000000041
insertion-smart 0 0 0.000000041
selection 0 0 0.000000041
quick 0 0 0.000000041
heap 0 0 0
merge 0 0 0.000000041
stdstable 0 0 0.000000041
stdunstable 0 0 0
bubble 0 0 0
insertion-dumb 0 0 0.000000041
insertion-smart 0 0 0
selection 0 0 0
quick 0 0 0.000000041
heap 0 0 0
merge 0 0 0
stdstable 0 0 0
stdunstable 0 0 0
bubble 0 0 0.000000041
insertion-dumb 0 0 0
insertion-smart 0 0 0.000000041
selection 0 0 0
quick 0 0 0
heap 0 0 0
merge 0 0 0
stdstable 0 0 0.000000041
stdunstable 0 0 0.000000041
bubble 0 0 0
insertion-dumb 0 0 0.000000041
insertion-smart 0 0 0.000000041
selection 0 0 0
quick 0 0 0.000000041
heap 0 0 0.000000041
merge 0 0 0.000000041
stdstable 0 0 0.000000041
stdunstable 0 0 0.000000041
bubble 0 0 0
insertion-dumb 0 0 0
insertion-smart 0 0 0
selection 0 0 0
quick 0 0 0.000000041
heap 0 0 0
merge 0 0 0.000000041
stdstable 0 0 0
stdunstable 0 0 0.000000041
bubble 0 0 0.000000041
insertion-dumb 0 0 0.000000041
insertion-smart 0 0 0
selection 0 0 0.000000041
quick 0 0 0
heap 0 0 0.000000041
merge 0 0 0.000000041
stdstable 0 0 0
stdunstable 0 0 0.000000041
bubble 0 0 0.000000041
insertion-dumb 0 0 0.000000041
insertion-smart 0 0 0.000000041
selection 0 0 0
quick 0 0 0.000000041
heap 0 0 0
merge 0 0 0
stdstable 0 0 0.000000041
stdunstable 0 0 0
bubble 0 0 0
insertion-dumb 0 0 0.000000041
insertion-smart 0 0 0
selection 0 0 0.000000041
quick 0 0 0.000000041
heap 0 0 0.000000041
merge 0 0 0
stdstable 0 0 0.000000041
stdunstable 0 0 0.000000041
bubble 10 72 0.000001
insertion-dumb 10 27 0.000000416
insertion-smart 10 22 0.000000875
selection 10 45 0.000000666
quick 10 60 0.000000666
heap 10 38 0.000001
merge 10 24 0.000001166
stdstable 10 27 0.000000416
